No,F stat.,Strain stat,Stress stat,Lo,Lm,F dyn.,Strain dyn,Stress dyn,Time,f,T,E',E'',|E*|,tan ä,F cont.,T2,T3,|J*|
 ,N,%,MPa,mm,mm,N,%,MPa,sec,Hz,°C,MPa,MPa,MPa,,N,°C,°C,1/MPa
1,4.78481,0.301286,2.08792,2.26414,2.1838,0.778989,0.0470179,0.339922,9.68E+02,0.1,26.7,7.22E+02,33.92465,7.23E+02,0.04698,0.726986,  ---  ,  ---  ,1.38E-03
2,4.15294,0.167509,1.81219,2.24064,2.19597,0.78377,0.0470872,0.342009,1.40E+03,0.17609,25.8,7.26E+02,28.88208,7.26E+02,0.0398,0.822842,  ---  ,  ---  ,1.38E-03
3,4.15392,0.169736,1.81262,2.24177,2.1965,0.788822,0.0471716,0.344213,1.64E+03,0.31008,25.4,7.29E+02,28.14774,7.30E+02,0.0386,0.807583,  ---  ,  ---  ,1.37E-03
4,4.14512,0.171034,1.80878,2.24238,2.19677,0.78954,0.0470392,0.344527,1.79E+03,0.54601,25.1,7.32E+02,28.72457,7.32E+02,0.03925,0.817365,  ---  ,  ---  ,1.37E-03
5,4.12262,0.169778,1.79896,2.24324,2.19796,0.794095,0.0470876,0.346514,1.88E+03,0.96147,25,7.35E+02,30.2062,7.36E+02,0.04108,0.807192,  ---  ,  ---  ,1.36E-03
6,4.16566,0.168596,1.81774,2.24226,2.1973,0.798958,0.0471379,0.348636,1.93E+03,1.69305,24.9,7.39E+02,32.45414,7.40E+02,0.04392,0.808366,  ---  ,  ---  ,1.35E-03
7,4.17642,0.172328,1.82244,2.24244,2.19649,0.801893,0.047139,0.349917,1.97E+03,2.98129,24.9,7.41E+02,35.10434,7.42E+02,0.04734,0.833601,  ---  ,  ---  ,1.35E-03
8,4.13631,0.169279,1.80494,2.24259,2.19745,0.802865,0.0470006,0.350341,2.00E+03,5.24974,24.8,7.44E+02,38.38467,7.45E+02,0.05156,0.818343,  ---  ,  ---  ,1.34E-03
9,4.10013,0.169811,1.78915,2.24271,2.19743,0.817912,0.0476321,0.356907,2.02E+03,9.24425,24.8,7.48E+02,40.05163,7.49E+02,0.05353,0.832036,  ---  ,  ---  ,1.33E-03
10,4.14121,0.172913,1.80707,2.24172,2.19561,0.813729,0.0472339,0.355082,2.04E+03,16.2782,24.8,7.51E+02,41.76488,7.52E+02,0.05564,0.831449,  ---  ,  ---  ,1.33E-03
11,4.14218,0.173231,1.8075,2.24187,2.19568,0.809423,0.0471255,0.353203,2.05E+03,28.6642,24.7,7.48E+02,45.50143,7.49E+02,0.06082,0.828711,  ---  ,  ---  ,1.33E-03
12,4.09915,0.170951,1.78872,2.24209,2.1965,0.795383,0.0473449,0.347076,2.06E+03,50,24.7,7.32E+02,46.71447,7.33E+02,0.06385,0.813452,  ---  ,  ---  ,1.36E-03
13,5.21322,0.282563,2.27486,2.24399,2.16864,0.779651,0.046701,0.340211,2.91E+03,0.1,37,7.27E+02,39.65308,7.28E+02,0.05451,0.79389,  ---  ,  ---  ,1.37E-03
14,4.01992,0.159026,1.75415,2.23755,2.19514,0.766397,0.0471761,0.334428,3.34E+03,0.17609,35.2,7.08E+02,32.58797,7.09E+02,0.04602,0.809539,  ---  ,  ---  ,1.41E-03
15,3.91624,0.162563,1.7089,2.24075,2.1974,0.768587,0.0471071,0.335384,3.58E+03,0.31008,34.3,7.11E+02,31.35776,7.12E+02,0.04409,0.817365,  ---  ,  ---  ,1.40E-03
16,3.97004,0.16986,1.73238,2.24095,2.19565,0.772294,0.0470377,0.337001,3.72E+03,0.54601,34.8,7.16E+02,31.27401,7.16E+02,0.04369,0.817169,  ---  ,  ---  ,1.40E-03
17,4.01112,0.172114,1.75031,2.24054,2.19464,0.77701,0.0471544,0.339059,3.81E+03,0.96147,35.1,7.18E+02,31.69367,7.19E+02,0.04412,0.82206,  ---  ,  ---  ,1.39E-03
18,4.02677,0.172301,1.75714,2.24042,2.19448,0.777528,0.0470332,0.339285,3.86E+03,1.69305,35.3,7.21E+02,32.63172,7.21E+02,0.04528,0.832819,  ---  ,  ---  ,1.39E-03
19,4.01209,0.173299,1.75073,2.24123,2.19501,0.78208,0.0471761,0.341271,3.90E+03,2.98129,35.3,7.23E+02,33.8919,7.23E+02,0.0469,0.80504,  ---  ,  ---  ,1.38E-03
20,4.02774,0.171649,1.75756,2.24075,2.19498,0.783069,0.0470764,0.341703,3.93E+03,5.24974,35.3,7.25E+02,35.28406,7.26E+02,0.04867,0.821864,  ---  ,  ---  ,1.38E-03
21,4.02383,0.172789,1.75585,2.24098,2.1949,0.794408,0.0476014,0.346651,3.95E+03,9.24425,35.3,7.27E+02,37.07311,7.28E+02,0.05097,0.800541,  ---  ,  ---  ,1.37E-03
22,4.03361,0.172766,1.76012,2.24098,2.19491,0.785781,0.0469815,0.342886,3.97E+03,16.2782,35.3,7.29E+02,39.40761,7.30E+02,0.05407,0.794281,  ---  ,  ---  ,1.37E-03
23,3.99644,0.172894,1.7439,2.24183,2.19573,0.781837,0.047148,0.341165,3.98E+03,28.6642,35.4,7.23E+02,39.82722,7.24E+02,0.05512,0.790564,  ---  ,  ---  ,1.38E-03
24,4.00525,0.172331,1.74775,2.24164,2.19569,0.788915,0.0483945,0.344254,4.00E+03,50,35.4,7.10E+02,43.84998,7.11E+02,0.06176,0.795455,  ---  ,  ---  ,1.41E-03
25,4.99315,0.274965,2.17883,2.24408,2.17076,0.757887,0.0470501,0.330714,4.84E+03,0.1,45.9,7.02E+02,41.15255,7.03E+02,0.05865,0.812865,  ---  ,  ---  ,1.42E-03
26,3.85364,0.156724,1.68159,2.23845,2.19665,0.74062,0.0471802,0.323179,5.27E+03,0.17609,45.5,6.84E+02,33.66533,6.85E+02,0.04921,0.824603,  ---  ,  ---  ,1.46E-03
27,3.88005,0.174349,1.69311,2.24136,2.19487,0.738494,0.0469106,0.322252,5.51E+03,0.31008,45.8,6.86E+02,32.52974,6.87E+02,0.04741,0.818734,  ---  ,  ---  ,1.46E-03
