,,,,,,,E',,,,,,,,,,,,,
,f,T,E',E'',tan del,,T(°C),25,35,45,56,66,77,87,97,108,118,129,139,150
,Hz,°C,MPa,MPa,,,0.1,7.22E+02,7.27E+02,7.02E+02,6.60E+02,5.80E+02,465.901,293.799,183.506,114.649,59.0295,29.2329,15.6982,12.1864
,0.1,26.7,7.22E+02,33.92465,0.04698,,0.17,7.26E+02,7.08E+02,6.84E+02,6.46E+02,5.79E+02,481.482,335.186,235.412,148.878,76.2148,36.3562,17.6256,12.3904
,0.17609,25.8,7.26E+02,28.88208,0.0398,,0.31,7.29E+02,7.11E+02,6.86E+02,6.46E+02,5.86E+02,497.374,374.861,276.511,180.793,93.6386,43.6367,20.1667,12.7013
,0.31008,25.4,7.29E+02,28.14774,0.0386,,0.54,7.32E+02,7.16E+02,6.88E+02,6.49E+02,5.90E+02,5.11E+02,405.73,312.323,210.024,110.966,51.1455,22.9624,13.1736
,0.54601,25.1,7.32E+02,28.72457,0.03925,,0.96,7.35E+02,7.18E+02,6.91E+02,6.52E+02,5.95E+02,5.23E+02,429.353,339.492,235.004,127.75,59.4681,25.9583,14.0382
,0.96147,25,7.35E+02,30.2062,0.04108,,1.69,7.39E+02,7.21E+02,6.93E+02,6.55E+02,6.00E+02,5.34E+02,449.055,361.169,257.695,144.047,68.9214,29.5145,14.8018
,1.69305,24.9,7.39E+02,32.45414,0.04392,,2.98,7.41E+02,7.23E+02,6.94E+02,6.57E+02,6.05E+02,5.43E+02,464.084,379.898,277.594,160.917,79.0982,33.8348,16.2609
,2.98129,24.9,7.41E+02,35.10434,0.04734,,5.24,7.44E+02,7.25E+02,6.97E+02,6.60E+02,6.11E+02,5.51E+02,479.038,396.268,296.852,178.151,90.9952,39.0036,17.6731
,5.24974,24.8,7.44E+02,38.38467,0.05156,,9.24,7.48E+02,7.27E+02,7.01E+02,6.63E+02,6.16E+02,5.61E+02,491.745,411.765,313.359,195.529,103.171,44.913,19.9398
,9.24425,24.8,7.48E+02,40.05163,0.05353,,16.27,7.51E+02,7.29E+02,7.01E+02,6.63E+02,6.20E+02,5.66E+02,5.03E+02,424.891,330.043,212.019,115.766,52.1426,22.6029
,16.2782,24.8,7.51E+02,41.76488,0.05564,,28.66,7.48E+02,7.23E+02,6.98E+02,6.61E+02,6.22E+02,5.70E+02,5.11E+02,435.38,342.569,228.156,129.961,60.7615,26.2371
,28.6642,24.7,7.48E+02,45.50143,0.06082,,50,7.32E+02,7.10E+02,6.82E+02,6.47E+02,6.16E+02,5.66E+02,5.07E+02,437.489,350.586,240.19,140.82,70.5251,31.1211
,50,24.7,7.32E+02,46.71447,0.06385,,,,,,,,,,,,,,,
,0.1,37,7.27E+02,39.65308,0.05451,,,,,,,,,,,,,,,
,0.17609,35.2,7.08E+02,32.58797,0.04602,,,,,,,,,,,,,,,
,0.31008,34.3,7.11E+02,31.35776,0.04409,,,,,,,,,,,,,,,
,0.54601,34.8,7.16E+02,31.27401,0.04369,,,,,,,,,,,,,,,
,0.96147,35.1,7.18E+02,31.69367,0.04412,,,,,,,,,,,,,,,
,1.69305,35.3,7.21E+02,32.63172,0.04528,,,,,,,,,,,,,,,
,2.98129,35.3,7.23E+02,33.8919,0.0469,,,,,,,,,,,,,,,
,5.24974,35.3,7.25E+02,35.28406,0.04867,,,,,,,,,,,,,,,
,9.24425,35.3,7.27E+02,37.07311,0.05097,,,,,,,,,,,,,,,
,16.2782,35.3,7.29E+02,39.40761,0.05407,,,,,,,,,,,,,,,
,28.6642,35.4,7.23E+02,39.82722,0.05512,,,,,,,,,,,,,,,
,50,35.4,7.10E+02,43.84998,0.06176,,,,,,,,,,,,,,,
,0.1,45.9,7.02E+02,41.15255,0.05865,,,,,,,,,,,,,,,
,0.17609,45.5,6.84E+02,33.66533,0.04921,,,,,,,,,,,,,,,
,0.31008,45.8,6.86E+02,32.52974,0.04741,,,,,,,,,,,,,,,
,0.54601,45.8,6.88E+02,31.97907,0.04647,,,,,,,,,,,,,,,
,0.96147,45.8,6.91E+02,32.66905,0.04728,,,,,,,,,,,,,,,
,1.69305,45.8,6.93E+02,33.35432,0.0481,,,,,,,,,,,,,,,
,2.98129,45.7,6.94E+02,33.99716,0.04897,,,,,,,,,,,,,,,
